"関連分野","区分","順位","会議名","URL","所管","対象分野","直近開催日","備考"
"AI・半導体","官邸・政府横断","","日本成長戦略会議","https://www.cas.go.jp/jp/seisaku/nipponseichosenryaku/index.html","官邸","成長戦略全般・17重点分野","2026年3月10日（第3回）","AI・半導体は17重点分野の一つ"
"AI・半導体","官邸・政府横断","1","AI・半導体WG","https://www8.cao.go.jp/cstp/ai/ai-semi_wg/ai-semi_wg.html","内閣府・経済産業省","AI・半導体","2026年4月3日（第2回）","AI・半導体分野の司令塔会議"
"AI・半導体","官邸・政府横断","","人工知能戦略本部","https://www8.cao.go.jp/cstp/ai/index.html","内閣府","AI政策全般","2025年12月19日（第3回）","AI法・人工知能基本計画の上位本部"
"AI・半導体","官邸・政府横断","2","人工知能戦略専門調査会","https://www8.cao.go.jp/cstp/ai/index.html","内閣府","AI基本計画・指針・制度設計","2026年4月9日（第4回）","AI政策の中核審議会"
"AI・半導体","官邸・政府横断","","人工知能戦略推進会議","https://www8.cao.go.jp/cstp/ai/index.html","内閣府","AI基本計画の実施推進","2025年12月10日（第2回）","実施段階の推進会議"
"AI・半導体","官邸・政府横断","","AI戦略会議","https://www8.cao.go.jp/cstp/ai/ai_plan/ai_plan.html","内閣府","AI制度・競争力・安全性","2025年6月2日（第14回）","AI制度研究会と並ぶ前段の主要会議"
"AI・半導体","官邸・政府横断","","AI制度研究会","https://www8.cao.go.jp/cstp/ai/ai_plan/ai_plan.html","内閣府","AI制度設計","2025年2月4日（中間とりまとめ）","AI法前段の制度検討"
"AI・半導体","官邸・政府横断","9","AIセーフティ・インスティテュート関係府省庁等連絡会議","https://www8.cao.go.jp/cstp/ai/aidata/renrakukaigi.html","内閣府","AI安全性評価・府省連携","2025年3月26日（第3回）","AI安全性の官庁横断連携"
"AI・半導体","官邸・政府横断","","人工知能戦略専門調査会下 産業構造WG","https://www8.cao.go.jp/cstp/ai/index.html","内閣府","AI・産業構造・需要創出","直近日付は今回確認未了","日本成長戦略会議の検討体制資料でAI・半導体WGを支える既存会議体として言及"
"AI・半導体","官邸・政府横断","","基本計画専門調査会","https://www8.cao.go.jp/cstp/tyousakai/kihon7/index.html","内閣府（CSTI）","科学技術・イノベーション基本計画全般","2026年3月16日（第13回）","第7期基本計画の上位会議"
"AI・半導体","官邸・政府横断","","重要技術領域検討WG","https://www8.cao.go.jp/cstp/tyousakai/kihon7/wg/index.html","内閣府（CSTI）","AI・半導体・量子・宇宙など重要技術領域","2025年11月26日（第7回）","AI・半導体を国家戦略技術領域の文脈で整理"
"AI・半導体","省庁","3","半導体・デジタル産業戦略検討会議","https://www.meti.go.jp/policy/mono_info_service/joho/conference/semicon_digital.html","経済産業省","半導体・デジタル産業・デジタルインフラ","2026年3月18日（第15回）","半導体政策の大枠"
"AI・半導体","省庁","4","次世代半導体等小委員会","https://www.meti.go.jp/shingikai/sankoshin/shomu_ryutsu/next_generation_semiconductor/index.html","経済産業省","次世代半導体・供給力強化・需要創出","2026年4月3日（第8回）","半導体の個別実務会議"
"AI・半導体","省庁","6","AI利活用における民事責任の在り方に関する研究会","https://www.meti.go.jp/shingikai/mono_info_service/ai_utilization_civil/index.html","経済産業省","生成AI・AI利活用の法的責任","2026年1月14日（第4回）","2026年4月9日に手引き公表"
"AI・半導体","省庁","8","AI事業者ガイドライン検討会","https://www.meti.go.jp/shingikai/mono_info_service/ai_shakai_jisso/index.html","経済産業省・IPA・AISI","AIガバナンス","2024年3月14日（第3回合同会議）","2025年3月28日に第1.1版公表・Living Documentとして更新"
"AI・半導体","省庁","5","AI for Science推進委員会","https://www.mext.go.jp/b_menu/shingi/chousa/shinkou/077/index.html","文部科学省","AI for Science・研究革新","2026年3月27日（第3回）","研究開発政策の中核"
"AI・半導体","省庁","10","AI for Scienceを支える研究データの管理・利活用と流通の在り方WG","https://www.mext.go.jp/b_menu/shingi/gijyutu/gijyutu29/006/index.html","文部科学省","研究データ基盤・流通","2026年3月26日（第3回）","AI for Scienceの下部WG"
"AI・半導体","省庁","7","次世代半導体のアカデミアにおける研究開発等に関する検討会","https://www.mext.go.jp/b_menu/shingi/chousa/kaihatu/028/index.html","文部科学省","次世代半導体研究基盤・人材育成","2024年7月5日（第7回）","文科省の半導体研究基盤会議"
"AI・半導体","省庁","","AIネットワーク社会推進会議","https://www.soumu.go.jp/main_sosiki/kenkyu/ai_network/","総務省","AIガバナンス・利活用指針","2025年3月28日公表資料で母体会議として確認","AI事業者ガイドライン更新の総務省側の母体"
"AI・半導体","省庁","","AIガバナンス検討会","https://www.soumu.go.jp/main_sosiki/kenkyu/ai_network/","総務省","AIガバナンス・リスク管理","2025年3月28日公表資料で母体会議として確認","AIネットワーク社会推進会議と並ぶ総務省側の母体"
"AI・半導体","省庁","","AIセキュリティ分科会","https://www.soumu.go.jp/main_sosiki/kenkyu/cybersecurity_taskforce/","総務省","AIセキュリティ・技術的対策","2025年12月5日（第6回）","サイバーセキュリティタスクフォース下の分科会"
"造船","官邸・政府横断","","日本成長戦略会議","https://www.cas.go.jp/jp/seisaku/nipponseichosenryaku/index.html","官邸","成長戦略全般・17重点分野","2026年3月10日（第3回）","造船は17重点分野の一つ"
